player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fumbles_lost,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_rating
StxxAm00,WR,Amon-Ra St. Brown,DET,0,0,0,0,0,9,95,0,146,106,1161,6,0,0,0,0,0.0
SudfNa00,QB,Nate Sudfeld,DET,0,0,0,0,0,5,-4,0,0,0,0,0,0,0,0,0,0.0
SullSt00,TE,Stephen Sullivan,CAR,0,0,0,0,0,0,0,0,6,2,46,0,0,0,0,0,0.0
SuttCo00,WR,Courtland Sutton,DEN,0,0,0,0,0,1,5,0,109,64,829,2,0,0,0,0,0.0
SwaiFr00,WR,Freddie Swain,DEN,0,0,0,0,0,0,0,0,6,4,74,0,0,0,0,0,0.0
SwaiGe00,TE,Geoff Swaim,TEN,0,0,0,0,0,0,0,0,16,12,58,1,0,0,0,0,0.0
SweeTo00,TE,Tommy Sweeney,BUF,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0.0
SwifDA00,RB,D'Andre Swift,DET,0,0,0,0,0,99,542,5,70,48,389,3,0,1,0,0,0.0
TagoTu00,QB,Tua Tagovailoa,MIA,259,400,3548,25,8,24,70,0,0,0,0,0,1,0,0,0,105.5
TannRy00,QB,Ryan Tannehill,TEN,212,325,2536,13,6,34,98,2,0,0,0,0,2,1,0,0,94.6
TaylJJ01,RB,J.J. Taylor,NWE,0,0,0,0,0,10,9,0,1,1,8,0,0,0,0,0,0.0
TaylJo02,RB,Jonathan Taylor,IND,0,0,0,0,0,192,861,4,40,28,143,0,3,0,0,0,0.0
TaylPa01,RB,Patrick Taylor,GNB,0,0,0,0,0,10,31,0,1,1,17,0,0,0,0,0,0.0
TaylTr02,WR,Trent Taylor,CIN,0,0,0,0,0,4,15,0,10,6,62,0,0,0,0,0,0.0
TaylTy00,QB,Tyrod Taylor,NYG,6,8,58,1,1,5,70,0,0,0,0,0,1,1,0,0,84.38
ThieAd00,WR,Adam Thielen,MIN,0,0,0,0,0,1,4,0,107,70,716,6,0,1,0,0,0.0
ThomDe07,WR,Deven Thompkins,TAM,0,0,0,0,0,2,26,0,10,5,32,0,0,0,0,0,0.0
ThomIa00,TE,Ian Thomas,CAR,0,0,0,0,0,0,0,0,30,21,197,0,0,0,0,0,0.0
ThomLo00,TE,Logan Thomas,WAS,0,0,0,0,0,0,0,0,61,39,323,1,0,0,0,0,0.0
ThomMi04,WR,Mike Thomas,CIN,0,0,0,0,0,0,0,0,10,2,38,0,0,1,0,0,0.0
ThomMi05,WR,Michael Thomas,NOR,0,0,0,0,0,0,0,0,22,16,171,3,0,0,0,0,0.0
ThomSk00,QB,Skylar Thompson,MIA,60,105,534,1,3,14,21,0,0,0,0,0,2,0,0,0,62.16
ThorTy00,WR,Tyquan Thornton,NWE,0,0,0,0,0,3,16,1,45,22,247,2,0,0,0,0,0.0
TogiNo00,TE,Noah Togiai,PHI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
TolbJa00,WR,Jalen Tolbert,DAL,0,0,0,0,0,0,0,0,3,2,12,0,0,0,0,0,0.0
TomlEr01,TE,Eric Tomlinson,DEN,0,0,0,0,0,0,0,0,13,9,79,2,0,0,0,0,0.0
ToneKa00,WR,Kadarius Toney,KAN,0,0,0,0,0,7,82,1,20,16,171,2,1,0,0,0,0.0
TongJa00,TE,Jake Tonges,CHI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
TonyRo00,TE,Robert Tonyan,GNB,0,0,0,0,0,0,0,0,67,53,470,2,0,0,0,0,0.0
TourSa00,WR,Samori Toure,GNB,0,0,0,0,0,0,0,0,10,5,82,1,0,0,0,0,0.0
TownTo01,P,Tommy Townsend,KAN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08
TramAu00,WR,Austin Trammell,LAR,0,0,0,0,0,0,0,0,4,2,13,0,0,0,0,0,0.0
TrasKy00,QB,Kyle Trask,TAM,3,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,40.51
TrauAd00,TE,Adam Trautman,NOR,0,0,0,0,0,0,0,0,22,18,207,1,0,0,0,0,0.0
TreaLa00,WR,Laquon Treadwell,SEA,0,0,0,0,0,0,0,0,10,6,42,0,0,0,0,0,0.0
TremTo00,TE,Tommy Tremble,CAR,0,0,0,0,0,0,0,0,32,19,174,3,1,0,0,0,0.0
TrubMi00,QB,Mitchell Trubisky,PIT,117,180,1252,4,5,19,38,2,0,0,0,0,0,1,0,0,81.06
TurnCo00,TE,Cole Turner,WAS,0,0,0,0,0,0,0,0,9,2,23,0,0,0,0,0,0.0
TurnDJ00,WR,DJ Turner,LVR,0,0,0,0,0,4,26,0,1,0,0,0,0,0,0,0,0.0
TurnMa00,WR,Malik Turner,SFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
